scan_date,equity,cash,positions,holdings
2025-01-02,0.9970044947556194,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-03,1.0229520680711446,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-06,1.0363139520581854,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-07,1.0178991227552054,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-08,1.0171001242868583,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-10,1.0120430346926457,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-13,1.0096234429962287,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-14,1.0388206751790734,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-15,1.0629229591078995,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-16,1.070902061652484,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-17,1.0797543455775533,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-21,1.0956438883370825,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-22,1.1058674005298743,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-23,1.1050811295384475,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-24,1.1340804220219443,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-27,1.0640328316308072,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-28,1.097120037441247,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-29,1.1089702947356206,1.6653345369377348e-16,6,"TWLO, AROC, ALGT, TPL, MIR, APP"
2025-01-30,1.1231097671289125,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-01-31,1.1019461168269447,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-03,1.1040851346026952,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
