ticker,sector,entry_date,exit_date,entry_price,exit_price,entry_cash_outlay,exit_net_proceeds,entry_fee,exit_fee,return,holding_days,model_alpha,pre_opportunity,entry_rank,exit_reason
TWLO,Information Technology,2025-01-02,2025-01-30,109.06999969482422,148.35000610351562,0.16666666666666666,0.2266892920732803,0.0,0.0,0.360135752439682,20,0.10680901259183884,0.4508720977801394,1,max_hold_days
AROC,Energy,2025-01-02,2025-01-30,24.34071159362793,28.84148406982422,0.16666666666666666,0.19748453093276677,0.0,0.0,0.1849071855966007,20,0.10602802783250809,0.4247537744552344,2,max_hold_days
ALGT,Industrials,2025-01-02,2025-01-30,91.94999694824219,104.05999755859375,0.16666666666666666,0.18861700382866456,0.0,0.0,0.1317020229719874,20,0.09902234375476837,0.4093392266861622,3,max_hold_days
TPL,Energy,2025-01-02,2025-01-30,390.50994873046875,428.3371887207031,0.16666666666666666,0.1828110440861618,0.0,0.0,0.09686626451697089,20,0.0894085019826889,0.4795572298402097,4,max_hold_days
MIR,Information Technology,2025-01-02,2025-01-30,16.920000076293945,15.84000015258789,0.16666666666666666,0.15602836959381178,0.0,0.0,-0.06382978243712933,20,0.08687783032655716,0.46922346805735893,5,max_hold_days
APP,Information Technology,2025-01-02,2025-01-30,341.7799987792969,365.510009765625,0.16666666666666666,0.17823844338028474,0.0,0.0,0.06943066028170852,20,0.08581098914146423,0.4462274129924246,6,max_hold_days
AM,Energy,2025-01-30,2025-02-27,15.280110359191895,15.251901626586914,0.18831144731582838,0.18796380406333096,0.0,0.0,-0.0018461079103404554,20,0.11040318757295609,0.4000279342276545,1,max_hold_days
CRK,Energy,2025-01-30,2025-02-27,19.43000030517578,17.489999771118164,0.18831144731582838,0.16950937306858535,0.0,0.0,-0.09984562550628673,20,0.10659759491682053,0.4552467309068178,2,max_hold_days
GEO,Industrials,2025-01-30,2025-02-27,31.459999084472656,27.34000015258789,0.18831144731582838,0.16365019542832243,0.0,0.0,-0.13095991900133985,20,0.10202042758464813,0.49209363641592757,3,max_hold_days
TRGP,Energy,2025-01-30,2025-02-27,198.7689971923828,190.09727478027344,0.18831144731582838,0.18009595787224628,0.0,0.0,-0.043627137705566144,20,0.07762211561203003,0.45000939288389447,4,max_hold_days
AAL,Industrials,2025-01-30,2025-02-27,16.899999618530273,14.529999732971191,0.18831144731582838,0.161903274613941,0.0,0.0,-0.14023668278432733,20,0.06939928233623505,0.49685526294656895,5,max_hold_days
KNTK,Energy,2025-01-30,2025-02-27,59.222312927246094,51.05471420288086,0.18831144731582838,0.16234062211740005,0.0,0.0,-0.13791421375924695,20,0.06613799929618835,0.4397850383201666,6,max_hold_days
PLTR,Information Technology,2025-02-27,2025-03-27,84.7699966430664,90.08999633789062,0.17091053786063767,0.18163654995533327,0.0,0.0,0.06275805008256241,20,0.1575644612312317,0.41755395270433904,1,max_hold_days
MP,Materials,2025-02-27,2025-03-27,23.459999084472656,26.170000076293945,0.17091053786063767,0.1906534084996051,0.0,0.0,0.11551581831113289,20,0.061473771929740906,0.4027390103631753,2,max_hold_days
ATEN,Information Technology,2025-02-27,2025-03-27,20.180614471435547,17.042503356933594,0.17091053786063767,0.14433373271899413,0.0,0.0,-0.1555012667698381,20,0.04678665101528168,0.4916158657403006,3,max_hold_days
IBM,Information Technology,2025-02-27,2025-03-27,247.08773803710938,240.238037109375,0.17091053786063767,0.1661726011299701,0.0,0.0,-0.02772173553470969,20,0.03475279361009598,0.4076735438060124,4,max_hold_days
SLAB,Information Technology,2025-02-27,2025-03-27,135.97999572753906,119.56999969482422,0.17091053786063767,0.15028514194680165,0.0,0.0,-0.1206794863091134,20,0.027019746601581573,0.4341506050987084,5,max_hold_days
ALK,Industrials,2025-02-27,2025-03-27,71.06999969482422,52.5,0.1709105378606375,0.12625303610824312,0.0,0.0,-0.2612916810829339,20,0.025981148704886436,0.4674083309951624,6,max_hold_days
RGLD,Materials,2025-05-12,2025-06-09,169.3874969482422,175.23631286621094,0.1598890783931579,0.16540992145220024,0.0,0.0,0.034529206838423976,20,0.009593979455530643,0.42156557529152,1,max_hold_days
LIF,Information Technology,2025-05-13,2025-06-10,59.619998931884766,62.5,0.15963799065977438,0.16734945647407587,0.0,0.0,0.048305956385635174,20,0.030466485768556595,0.40919934679407616,1,max_hold_days
LYFT,Industrials,2025-05-13,2025-06-10,17.030000686645508,15.680000305175781,0.15963799065977438,0.14698318504624586,0.0,0.0,-0.07927189236864585,20,0.0293180663138628,0.4117059746847263,2,max_hold_days
APH,Information Technology,2025-05-14,2025-06-11,85.02806854248047,92.41577911376953,0.15820381791075186,0.1719494437732708,0.0,0.0,0.08688555082958427,20,0.046149224042892456,0.4011298206568329,1,max_hold_days
ATI,Industrials,2025-05-14,2025-06-11,75.06999969482422,83.88999938964844,0.15820381791075186,0.17679123807014024,0.0,0.0,0.11749033875954984,20,0.0234204214066267,0.4047382182642046,2,max_hold_days
STRL,Industrials,2025-05-14,2025-06-11,187.1999969482422,204.4600067138672,0.15820381791075186,0.17279035362984008,0.0,0.0,0.09220090837072581,20,0.01801290549337864,0.4133613152229752,3,max_hold_days
AVAV,Industrials,2025-06-09,2025-07-07,195.72000122070312,240.74000549316406,0.1686455373740926,0.20743780574604886,0.0,0.0,0.23002250149025016,20,0.17774702608585358,0.4541306833934546,1,max_hold_days
AGX,Industrials,2025-06-10,2025-07-08,208.24560546875,201.36538696289062,0.16546082848662622,0.15999417457291687,0.0,0.0,-0.03303896132824691,20,0.11673200130462646,0.497999121944562,1,max_hold_days
CAR,Industrials,2025-06-10,2025-07-08,125.87000274658203,178.52000427246094,0.15119415402578837,0.21443696221249026,0.0,0.0,0.41828871356967223,20,0.10889329016208649,0.46399541154917445,2,max_hold_days
FLR,Industrials,2025-06-11,2025-07-09,49.790000915527344,51.63999938964844,0.16907958849522342,0.17536191376072946,0.0,0.0,0.03715602410330865,20,0.14246691763401031,0.4045019002559387,1,max_hold_days
DY,Industrials,2025-06-11,2025-07-09,236.4600067138672,252.27999877929688,0.16907958849522342,0.18039159759812973,0.0,0.0,0.0669034577359755,20,0.09271914511919022,0.4508469739846757,2,max_hold_days
